Using device: cuda:2
Start Training (Stable Version)...
Epoch [1/200] Loss: 4.6127 | Train Acc: 1.25% | Test Acc: 1.50% | LR: 0.000001
Epoch [2/200] Loss: 4.2258 | Train Acc: 6.51% | Test Acc: 11.76% | LR: 0.000201
Epoch [3/200] Loss: 3.7830 | Train Acc: 12.12% | Test Acc: 20.15% | LR: 0.000401
Epoch [4/200] Loss: 3.4361 | Train Acc: 17.78% | Test Acc: 26.20% | LR: 0.000600
Epoch [5/200] Loss: 3.1848 | Train Acc: 22.09% | Test Acc: 29.89% | LR: 0.000800
Epoch [6/200] Loss: 2.9738 | Train Acc: 26.08% | Test Acc: 35.24% | LR: 0.001000
Epoch [7/200] Loss: 2.7529 | Train Acc: 30.22% | Test Acc: 41.60% | LR: 0.001000
Epoch [8/200] Loss: 2.5570 | Train Acc: 34.85% | Test Acc: 45.01% | LR: 0.001000
Epoch [9/200] Loss: 2.3992 | Train Acc: 38.12% | Test Acc: 49.53% | LR: 0.000999
Epoch [10/200] Loss: 2.3045 | Train Acc: 40.31% | Test Acc: 52.10% | LR: 0.000999
Epoch [11/200] Loss: 2.2083 | Train Acc: 42.46% | Test Acc: 53.99% | LR: 0.000998
Epoch [12/200] Loss: 2.1165 | Train Acc: 44.42% | Test Acc: 56.45% | LR: 0.000998
Epoch [13/200] Loss: 2.0484 | Train Acc: 46.35% | Test Acc: 57.63% | LR: 0.000997
Epoch [14/200] Loss: 1.9920 | Train Acc: 47.45% | Test Acc: 58.08% | LR: 0.000996
Epoch [15/200] Loss: 1.9232 | Train Acc: 49.21% | Test Acc: 60.49% | LR: 0.000995
Epoch [16/200] Loss: 1.8752 | Train Acc: 50.40% | Test Acc: 62.22% | LR: 0.000994
Epoch [17/200] Loss: 1.8139 | Train Acc: 51.97% | Test Acc: 63.72% | LR: 0.000992
Epoch [18/200] Loss: 1.7757 | Train Acc: 52.66% | Test Acc: 62.50% | LR: 0.000991
Epoch [19/200] Loss: 1.7164 | Train Acc: 54.27% | Test Acc: 64.23% | LR: 0.000989
Epoch [20/200] Loss: 1.6937 | Train Acc: 54.76% | Test Acc: 64.78% | LR: 0.000987
Epoch [21/200] Loss: 1.6438 | Train Acc: 55.94% | Test Acc: 65.66% | LR: 0.000985
Epoch [22/200] Loss: 1.6152 | Train Acc: 56.94% | Test Acc: 66.47% | LR: 0.000983
Epoch [23/200] Loss: 1.5757 | Train Acc: 57.48% | Test Acc: 65.63% | LR: 0.000981
Epoch [24/200] Loss: 1.5463 | Train Acc: 58.50% | Test Acc: 67.76% | LR: 0.000979
Epoch [25/200] Loss: 1.5152 | Train Acc: 59.29% | Test Acc: 68.71% | LR: 0.000977
Epoch [26/200] Loss: 1.4916 | Train Acc: 59.75% | Test Acc: 67.93% | LR: 0.000974
Epoch [27/200] Loss: 1.4672 | Train Acc: 60.50% | Test Acc: 68.25% | LR: 0.000972
Epoch [28/200] Loss: 1.4468 | Train Acc: 61.02% | Test Acc: 68.62% | LR: 0.000969
Epoch [29/200] Loss: 1.4179 | Train Acc: 61.47% | Test Acc: 69.80% | LR: 0.000966
Epoch [30/200] Loss: 1.3933 | Train Acc: 62.07% | Test Acc: 70.54% | LR: 0.000963
Epoch [31/200] Loss: 1.3747 | Train Acc: 62.77% | Test Acc: 69.83% | LR: 0.000960
Epoch [32/200] Loss: 1.3528 | Train Acc: 63.38% | Test Acc: 71.07% | LR: 0.000957
Epoch [33/200] Loss: 1.3380 | Train Acc: 63.79% | Test Acc: 70.60% | LR: 0.000953
Epoch [34/200] Loss: 1.3176 | Train Acc: 64.21% | Test Acc: 71.54% | LR: 0.000950
Epoch [35/200] Loss: 1.2915 | Train Acc: 65.05% | Test Acc: 71.03% | LR: 0.000946
Epoch [36/200] Loss: 1.2872 | Train Acc: 64.93% | Test Acc: 70.74% | LR: 0.000943
Epoch [37/200] Loss: 1.2783 | Train Acc: 65.42% | Test Acc: 71.06% | LR: 0.000939
Epoch [38/200] Loss: 1.2451 | Train Acc: 66.17% | Test Acc: 71.69% | LR: 0.000935
Epoch [39/200] Loss: 1.2335 | Train Acc: 66.55% | Test Acc: 72.34% | LR: 0.000931
Epoch [40/200] Loss: 1.2175 | Train Acc: 66.91% | Test Acc: 72.17% | LR: 0.000927
Epoch [41/200] Loss: 1.2215 | Train Acc: 67.03% | Test Acc: 72.77% | LR: 0.000923
Epoch [42/200] Loss: 1.1910 | Train Acc: 67.54% | Test Acc: 73.48% | LR: 0.000918
Epoch [43/200] Loss: 1.1869 | Train Acc: 67.74% | Test Acc: 72.47% | LR: 0.000914
Epoch [44/200] Loss: 1.1783 | Train Acc: 67.72% | Test Acc: 73.34% | LR: 0.000909
Epoch [45/200] Loss: 1.1556 | Train Acc: 68.42% | Test Acc: 73.94% | LR: 0.000905
Epoch [46/200] Loss: 1.1506 | Train Acc: 68.78% | Test Acc: 73.15% | LR: 0.000900
Epoch [47/200] Loss: 1.1455 | Train Acc: 68.87% | Test Acc: 72.06% | LR: 0.000895
Epoch [48/200] Loss: 1.1229 | Train Acc: 69.19% | Test Acc: 73.78% | LR: 0.000890
Epoch [49/200] Loss: 1.1261 | Train Acc: 69.17% | Test Acc: 73.06% | LR: 0.000885
Epoch [50/200] Loss: 1.1048 | Train Acc: 69.88% | Test Acc: 73.56% | LR: 0.000880
Epoch [51/200] Loss: 1.0977 | Train Acc: 69.97% | Test Acc: 74.29% | LR: 0.000874
Epoch [52/200] Loss: 1.2414 | Train Acc: 67.24% | Test Acc: 72.96% | LR: 0.000869
Epoch [53/200] Loss: 1.0929 | Train Acc: 70.13% | Test Acc: 72.75% | LR: 0.000864
Epoch [54/200] Loss: 1.0845 | Train Acc: 70.29% | Test Acc: 74.30% | LR: 0.000858
Epoch [55/200] Loss: 1.0662 | Train Acc: 70.87% | Test Acc: 73.78% | LR: 0.000852
Epoch [56/200] Loss: 1.0613 | Train Acc: 71.14% | Test Acc: 74.33% | LR: 0.000847
Epoch [57/200] Loss: 1.0396 | Train Acc: 71.63% | Test Acc: 73.90% | LR: 0.000841
Epoch [58/200] Loss: 1.0564 | Train Acc: 71.33% | Test Acc: 74.25% | LR: 0.000835
Epoch [59/200] Loss: 1.0347 | Train Acc: 71.89% | Test Acc: 75.03% | LR: 0.000829
Epoch [60/200] Loss: 1.0317 | Train Acc: 72.06% | Test Acc: 74.25% | LR: 0.000823
Epoch [61/200] Loss: 1.0269 | Train Acc: 72.01% | Test Acc: 74.27% | LR: 0.000816
Epoch [62/200] Loss: 1.0146 | Train Acc: 72.53% | Test Acc: 75.34% | LR: 0.000810
Epoch [63/200] Loss: 0.9975 | Train Acc: 72.78% | Test Acc: 74.80% | LR: 0.000804
Epoch [64/200] Loss: 1.0029 | Train Acc: 72.68% | Test Acc: 74.45% | LR: 0.000797
Epoch [65/200] Loss: 0.9898 | Train Acc: 73.24% | Test Acc: 74.83% | LR: 0.000791
Epoch [66/200] Loss: 0.9806 | Train Acc: 73.35% | Test Acc: 75.32% | LR: 0.000784
Epoch [67/200] Loss: 0.9683 | Train Acc: 73.80% | Test Acc: 75.06% | LR: 0.000778
Epoch [68/200] Loss: 0.9707 | Train Acc: 73.61% | Test Acc: 74.73% | LR: 0.000771
Epoch [69/200] Loss: 0.9615 | Train Acc: 73.87% | Test Acc: 75.20% | LR: 0.000764
Epoch [70/200] Loss: 0.9657 | Train Acc: 73.78% | Test Acc: 75.59% | LR: 0.000757
Epoch [71/200] Loss: 0.9435 | Train Acc: 74.57% | Test Acc: 75.63% | LR: 0.000750
Epoch [72/200] Loss: 0.9435 | Train Acc: 74.48% | Test Acc: 75.52% | LR: 0.000743
Epoch [73/200] Loss: 0.9382 | Train Acc: 74.49% | Test Acc: 75.73% | LR: 0.000736
Epoch [74/200] Loss: 0.9260 | Train Acc: 74.90% | Test Acc: 75.59% | LR: 0.000729
Epoch [75/200] Loss: 0.9211 | Train Acc: 74.91% | Test Acc: 75.75% | LR: 0.000722
Epoch [76/200] Loss: 0.9131 | Train Acc: 75.33% | Test Acc: 75.98% | LR: 0.000715
Epoch [77/200] Loss: 0.9066 | Train Acc: 75.30% | Test Acc: 75.22% | LR: 0.000707
Epoch [78/200] Loss: 0.9000 | Train Acc: 75.41% | Test Acc: 76.76% | LR: 0.000700
Epoch [79/200] Loss: 0.9011 | Train Acc: 75.46% | Test Acc: 76.33% | LR: 0.000693
