Using device: cuda:1
Start Training (Stable Version)...
Epoch [1/200] Loss: 4.6048 | Train Acc: 1.32% | Test Acc: 1.56% | LR: 0.000001
Epoch [2/200] Loss: 4.2209 | Train Acc: 6.65% | Test Acc: 12.03% | LR: 0.000201
Epoch [3/200] Loss: 3.7769 | Train Acc: 12.12% | Test Acc: 20.16% | LR: 0.000401
Epoch [4/200] Loss: 3.4208 | Train Acc: 17.96% | Test Acc: 26.52% | LR: 0.000600
Epoch [5/200] Loss: 3.1606 | Train Acc: 22.61% | Test Acc: 31.65% | LR: 0.000800
Epoch [6/200] Loss: 2.9292 | Train Acc: 26.90% | Test Acc: 38.43% | LR: 0.001000
Epoch [7/200] Loss: 2.7278 | Train Acc: 31.07% | Test Acc: 40.11% | LR: 0.001000
Epoch [8/200] Loss: 2.5455 | Train Acc: 35.06% | Test Acc: 45.58% | LR: 0.001000
Epoch [9/200] Loss: 2.4306 | Train Acc: 37.36% | Test Acc: 47.96% | LR: 0.000999
Epoch [10/200] Loss: 2.3059 | Train Acc: 40.41% | Test Acc: 51.54% | LR: 0.000999
Epoch [11/200] Loss: 2.1836 | Train Acc: 43.12% | Test Acc: 55.68% | LR: 0.000998
Epoch [12/200] Loss: 2.0870 | Train Acc: 45.20% | Test Acc: 55.74% | LR: 0.000998
Epoch [13/200] Loss: 2.0205 | Train Acc: 46.62% | Test Acc: 58.23% | LR: 0.000997
Epoch [14/200] Loss: 1.9354 | Train Acc: 48.88% | Test Acc: 58.88% | LR: 0.000996
Epoch [15/200] Loss: 1.8757 | Train Acc: 50.30% | Test Acc: 62.46% | LR: 0.000995
Epoch [16/200] Loss: 1.8176 | Train Acc: 51.71% | Test Acc: 62.02% | LR: 0.000994
Epoch [17/200] Loss: 1.7739 | Train Acc: 52.94% | Test Acc: 63.62% | LR: 0.000992
Epoch [18/200] Loss: 1.7257 | Train Acc: 54.10% | Test Acc: 64.22% | LR: 0.000991
Epoch [19/200] Loss: 1.6774 | Train Acc: 55.24% | Test Acc: 64.48% | LR: 0.000989
Epoch [20/200] Loss: 1.6386 | Train Acc: 55.89% | Test Acc: 66.31% | LR: 0.000987
Epoch [21/200] Loss: 1.6034 | Train Acc: 56.85% | Test Acc: 65.81% | LR: 0.000985
Epoch [22/200] Loss: 1.5580 | Train Acc: 58.02% | Test Acc: 67.67% | LR: 0.000983
Epoch [23/200] Loss: 1.5311 | Train Acc: 58.70% | Test Acc: 67.83% | LR: 0.000981
Epoch [24/200] Loss: 1.5005 | Train Acc: 59.32% | Test Acc: 68.23% | LR: 0.000979
Epoch [25/200] Loss: 1.4814 | Train Acc: 60.11% | Test Acc: 68.55% | LR: 0.000977
Epoch [26/200] Loss: 1.4481 | Train Acc: 61.12% | Test Acc: 68.68% | LR: 0.000974
Epoch [27/200] Loss: 1.4235 | Train Acc: 61.59% | Test Acc: 69.96% | LR: 0.000972
Epoch [28/200] Loss: 1.4037 | Train Acc: 62.00% | Test Acc: 69.38% | LR: 0.000969
Epoch [29/200] Loss: 1.3779 | Train Acc: 62.60% | Test Acc: 70.49% | LR: 0.000966
Epoch [30/200] Loss: 1.3484 | Train Acc: 63.43% | Test Acc: 70.84% | LR: 0.000963
Epoch [31/200] Loss: 1.3387 | Train Acc: 63.92% | Test Acc: 70.72% | LR: 0.000960
Epoch [32/200] Loss: 1.3515 | Train Acc: 63.48% | Test Acc: 70.80% | LR: 0.000957
Epoch [33/200] Loss: 1.3075 | Train Acc: 64.64% | Test Acc: 71.61% | LR: 0.000953
Epoch [34/200] Loss: 1.2955 | Train Acc: 64.82% | Test Acc: 71.11% | LR: 0.000950
Epoch [35/200] Loss: 1.2730 | Train Acc: 65.36% | Test Acc: 72.23% | LR: 0.000946
Epoch [36/200] Loss: 1.2590 | Train Acc: 66.01% | Test Acc: 72.26% | LR: 0.000943
Epoch [37/200] Loss: 1.2395 | Train Acc: 66.49% | Test Acc: 71.76% | LR: 0.000939
Epoch [38/200] Loss: 1.2281 | Train Acc: 66.68% | Test Acc: 73.08% | LR: 0.000935
Epoch [39/200] Loss: 1.2187 | Train Acc: 67.07% | Test Acc: 71.00% | LR: 0.000931
Epoch [40/200] Loss: 1.1949 | Train Acc: 67.66% | Test Acc: 71.19% | LR: 0.000927
Epoch [41/200] Loss: 1.1847 | Train Acc: 67.60% | Test Acc: 72.25% | LR: 0.000923
Epoch [42/200] Loss: 1.1763 | Train Acc: 67.99% | Test Acc: 72.23% | LR: 0.000918
Epoch [43/200] Loss: 1.2627 | Train Acc: 66.58% | Test Acc: 72.47% | LR: 0.000914
Epoch [44/200] Loss: 1.1673 | Train Acc: 68.07% | Test Acc: 72.46% | LR: 0.000909
