Using device: cuda
Start Training (Stable Version)...
Epoch [1/200] Loss: 4.6136 | Train Acc: 0.98% | Test Acc: 1.38% | LR: 0.000001
Epoch [2/200] Loss: 4.3497 | Train Acc: 5.15% | Test Acc: 9.81% | LR: 0.000201
Epoch [3/200] Loss: 3.9808 | Train Acc: 9.40% | Test Acc: 11.49% | LR: 0.000401
Epoch [4/200] Loss: 3.7029 | Train Acc: 13.22% | Test Acc: 18.22% | LR: 0.000600
Epoch [5/200] Loss: 3.4660 | Train Acc: 17.09% | Test Acc: 23.21% | LR: 0.000800
Epoch [6/200] Loss: 3.2730 | Train Acc: 20.41% | Test Acc: 25.30% | LR: 0.001000
Epoch [7/200] Loss: 3.0892 | Train Acc: 24.17% | Test Acc: 31.55% | LR: 0.001000
Epoch [8/200] Loss: 2.9095 | Train Acc: 27.04% | Test Acc: 35.08% | LR: 0.001000
Epoch [9/200] Loss: 2.7518 | Train Acc: 30.42% | Test Acc: 38.60% | LR: 0.000999
Epoch [10/200] Loss: 2.6204 | Train Acc: 32.91% | Test Acc: 43.37% | LR: 0.000999
Epoch [11/200] Loss: 2.5247 | Train Acc: 35.45% | Test Acc: 43.99% | LR: 0.000998
Epoch [12/200] Loss: 2.4201 | Train Acc: 37.44% | Test Acc: 46.21% | LR: 0.000998
Epoch [13/200] Loss: 2.3403 | Train Acc: 39.41% | Test Acc: 49.90% | LR: 0.000997
Epoch [14/200] Loss: 2.2620 | Train Acc: 40.92% | Test Acc: 50.49% | LR: 0.000996
Epoch [15/200] Loss: 2.1913 | Train Acc: 42.56% | Test Acc: 52.22% | LR: 0.000995
Epoch [16/200] Loss: 2.1285 | Train Acc: 44.05% | Test Acc: 53.92% | LR: 0.000994
Epoch [17/200] Loss: 2.0661 | Train Acc: 45.49% | Test Acc: 54.83% | LR: 0.000992
Epoch [18/200] Loss: 2.0323 | Train Acc: 46.34% | Test Acc: 56.12% | LR: 0.000991
Epoch [19/200] Loss: 1.9683 | Train Acc: 47.95% | Test Acc: 58.33% | LR: 0.000989
